method,k,fraction,coverage,quality,redundancy
Dedup-only,59,0.7375,1.0,0.9953787428020864,0.6235448998594891
Dedup-only,60,0.75,1.0,0.995452015629448,0.6286830752174417
Dedup-only,61,0.7625,1.0,0.995522344730343,0.6331762725366098
Dedup-only,62,0.775,1.0,0.9955793680241234,0.6361628382815849
Dedup-only,63,0.7875,1.0,0.995516590205998,0.6422227226771301
Dedup-only,64,0.8,1.0,0.9953524477154848,0.6448949394534751
Dedup-only,65,0.8125,1.0,0.9953097063264118,0.6493114699594145
Dedup-only,66,0.825,1.0,0.9953182751928153,0.6517076184710784
Dedup-only,67,0.8375,1.0,0.9953718740104324,0.6566357944265167
Dedup-only,68,0.85,1.0,0.9954217942068735,0.6591277031333509
Dedup-only,69,0.8625,1.0,0.9954683821696197,0.6610540988557794
Dedup-only,70,0.875,1.0,0.9955049583879038,0.664913000246676
Dedup-only,71,0.8875,1.0,0.9955616667204685,0.6694735219414598
Dedup-only,72,0.9,1.0,0.9956196789301389,0.676300859139206
Dedup-only,73,0.9125,1.0,0.9956796833283562,0.6803927260849143
Dedup-only,74,0.925,1.0,0.9956806011138015,0.6842613646572444
Dedup-only,75,0.9375,1.0,0.9956941281030819,0.6900727660207259
Dedup-only,76,0.95,1.0,0.9957507843122518,0.6930460074106802
Dedup-only,77,0.9625,1.0,0.9958012687319956,0.7004545260261374
Dedup-only,78,0.975,1.0,0.9958037676821573,0.7078947552969349
Dedup-only,79,0.9875,1.0,0.9957905138052868,0.7140800621420393
Dedup-only,80,1.0,1.0,0.9957156180149047,0.7216681152708333
Diversity-only,1,0.0125,0.16666666666666666,0.9950692963752665,0.0
Diversity-only,2,0.025,0.3333333333333333,0.9950447085498062,-0.14916006206250296
Diversity-only,3,0.0375,0.5,0.996241926911992,-0.09106472966037527
Diversity-only,4,0.05,0.6666666666666666,0.9970560271237934,0.15533774701543218
Diversity-only,5,0.0625,0.8333333333333334,0.9946965179833642,0.13618212828882803
Diversity-only,6,0.075,1.0,0.99173856082875,0.1872958786536847
Diversity-only,7,0.0875,1.0,0.9926371546317145,0.34123447406213075
Diversity-only,8,0.1,1.0,0.9925105559880294,0.3104635868130009
Diversity-only,9,0.1125,1.0,0.992884411045921,0.2885239841477141
Diversity-only,10,0.125,1.0,0.9929751296751059,0.3187904843357717
Diversity-only,11,0.1375,1.0,0.9936137542500962,0.3009789307297676
Diversity-only,12,0.15,1.0,0.9929038645875696,0.34519191344198
Diversity-only,13,0.1625,1.0,0.9922261634654489,0.39319347104409086
Diversity-only,14,0.175,1.0,0.9927790501850673,0.392110762296774
Diversity-only,15,0.1875,1.0,0.9926830214662618,0.42024378084107794
Diversity-only,16,0.2,1.0,0.9928006587115771,0.4185252318128555
Diversity-only,17,0.2125,1.0,0.9931922616205,0.39981275176049885
Diversity-only,18,0.225,1.0,0.9919488476866284,0.41527231909509105
Diversity-only,19,0.2375,1.0,0.9922535165747576,0.41578003210068915
Diversity-only,20,0.25,1.0,0.9924755970115113,0.4493029688735306
Diversity-only,21,0.2625,1.0,0.9928291272785975,0.4742462913590383
